task,segment,step,time_s,q1,q2,q3,q4,q5,q6,selfDist_mm,selfCollision,envCollision,tcpX_mm,tcpY_mm,tcpZ_mm
1,1,270,1.0822,147.614,-57.537,88.032,3.297,-37.351,-28.012,0.00,1,0,1155.5,-303.5,491.8
1,1,280,1.1222,147.614,-57.930,87.881,3.840,-37.351,-28.012,0.00,1,0,1154.9,-303.1,502.8
1,1,290,1.1623,147.614,-58.294,87.740,4.345,-37.351,-28.012,0.00,1,0,1154.3,-302.7,513.0
1,1,300,1.2024,147.614,-58.628,87.612,4.808,-37.351,-28.012,0.00,1,0,1153.7,-302.3,522.4
1,1,310,1.2425,147.614,-58.930,87.495,5.225,-37.351,-28.012,0.00,1,0,1153.0,-301.9,530.8
1,1,320,1.2826,147.614,-59.197,87.393,5.595,-37.351,-28.012,0.00,1,0,1152.4,-301.5,538.4
1,1,330,1.3227,147.614,-59.429,87.303,5.916,-37.351,-28.012,0.00,1,0,1151.9,-301.2,544.9
1,1,340,1.3627,147.614,-59.625,87.228,6.188,-37.351,-28.012,0.00,1,0,1151.4,-300.9,550.4
1,1,350,1.4028,147.614,-59.786,87.166,6.411,-37.351,-28.012,0.00,1,0,1151.0,-300.6,554.9
1,1,360,1.4429,147.614,-59.913,87.117,6.587,-37.351,-28.012,0.00,1,0,1150.6,-300.4,558.5
1,1,370,1.4830,147.614,-60.008,87.080,6.719,-37.351,-28.012,0.00,1,0,1150.4,-300.2,561.2
1,1,380,1.5231,147.614,-60.074,87.055,6.811,-37.351,-28.012,0.00,1,0,1150.2,-300.1,563.0
1,1,390,1.5631,147.614,-60.116,87.039,6.868,-37.351,-28.012,0.00,1,0,1150.1,-300.1,564.2
1,1,400,1.6032,147.614,-60.137,87.031,6.897,-37.351,-28.012,0.00,1,0,1150.0,-300.0,564.8
1,1,410,1.6433,147.614,-60.144,87.028,6.907,-37.351,-28.012,0.00,1,0,1150.0,-300.0,565.0
1,1,418,1.6754,147.614,-60.145,87.028,6.908,-37.351,-28.012,0.00,1,0,1150.0,-300.0,565.0
1,2,0,0.0000,147.614,-60.145,87.028,6.908,-37.351,-28.012,0.00,1,0,1150.0,-300.0,565.0
1,2,10,0.0400,147.614,-60.145,87.027,6.908,-37.350,-28.012,0.00,1,0,1150.0,-300.0,565.0
1,2,20,0.0800,147.614,-60.144,87.025,6.908,-37.342,-28.011,0.00,1,0,1150.0,-300.0,565.0
1,2,30,0.1200,147.614,-60.141,87.018,6.907,-37.323,-28.007,0.00,1,0,1150.1,-300.0,565.0
1,2,40,0.1600,147.614,-60.136,87.005,6.905,-37.287,-27.999,0.00,1,0,1150.3,-300.1,565.0
1,2,50,0.2000,147.614,-60.129,86.984,6.902,-37.227,-27.987,0.00,1,0,1150.7,-300.2,565.1
1,2,60,0.2400,147.614,-60.117,86.953,6.898,-37.141,-27.969,0.00,1,0,1151.1,-300.4,565.1
1,2,70,0.2800,147.614,-60.101,86.910,6.892,-37.022,-27.945,0.00,1,0,1151.8,-300.6,565.2
1,2,80,0.3200,147.614,-60.081,86.855,6.884,-36.867,-27.914,0.00,1,0,1152.6,-300.8,565.2
1,2,90,0.3600,147.614,-60.055,86.785,6.874,-36.672,-27.874,0.00,1,0,1153.6,-301.2,565.3
1,2,100,0.4000,147.614,-60.024,86.700,6.862,-36.433,-27.825,0.00,1,0,1154.9,-301.6,565.4
1,2,110,0.4400,147.614,-59.986,86.598,6.848,-36.147,-27.767,0.00,1,0,1156.4,-302.1,565.6
1,2,120,0.4801,147.614,-59.941,86.478,6.831,-35.811,-27.698,0.00,1,0,1158.2,-302.7,565.7
1,2,130,0.5201,147.614,-59.890,86.339,6.811,-35.422,-27.619,0.00,1,0,1160.3,-303.4,565.9
1,2,140,0.5601,147.614,-59.831,86.181,6.789,-34.978,-27.528,0.00,1,0,1162.7,-304.2,566.1
1,2,150,0.6001,147.614,-59.765,86.002,6.764,-34.477,-27.426,0.00,1,0,1165.4,-305.1,566.4
1,2,160,0.6401,147.614,-59.691,85.801,6.735,-33.915,-27.312,0.00,1,0,1168.4,-306.1,566.7
1,2,170,0.6801,147.614,-59.609,85.579,6.704,-33.293,-27.185,0.00,1,0,1171.7,-307.2,567.0
1,2,180,0.7201,147.614,-59.518,85.335,6.670,-32.608,-27.045,0.00,1,0,1175.4,-308.5,567.3
1,2,190,0.7601,147.614,-59.419,85.067,6.632,-31.859,-26.892,0.00,1,0,1179.4,-310.0,567.7
1,2,200,0.8001,147.614,-59.312,84.777,6.591,-31.045,-26.726,0.00,1,0,1183.7,-311.5,568.1
1,2,210,0.8401,147.614,-59.196,84.463,6.547,-30.166,-26.547,0.00,1,0,1188.4,-313.3,568.6
1,2,220,0.8801,147.614,-59.071,84.125,6.499,-29.220,-26.354,0.00,1,0,1193.4,-315.1,569.1
1,2,230,0.9201,147.614,-58.937,83.764,6.448,-28.208,-26.148,0.00,1,0,1198.8,-317.2,569.7
1,2,240,0.9601,147.614,-58.795,83.379,6.394,-27.129,-25.928,0.00,1,0,1204.5,-319.4,570.3
1,2,250,1.0001,147.614,-58.643,82.970,6.336,-25.984,-25.694,0.00,1,0,1210.6,-321.9,570.9
1,2,260,1.0401,147.614,-58.483,82.538,6.275,-24.773,-25.447,0.00,1,0,1217.0,-324.5,571.6
1,2,270,1.0801,147.614,-58.314,82.082,6.211,-23.495,-25.186,0.00,1,0,1223.8,-327.3,572.4
1,2,280,1.1201,147.614,-58.137,81.603,6.144,-22.153,-24.913,0.00,1,0,1230.8,-330.4,573.2
1,2,290,1.1601,147.614,-57.951,81.101,6.073,-20.746,-24.626,0.00,1,0,1238.2,-333.6,574.1
1,2,300,1.2001,147.614,-57.757,80.576,5.999,-19.277,-24.326,0.00,1,0,1245.9,-337.1,575.1
1,2,310,1.2401,147.614,-57.555,80.029,5.922,-17.745,-24.014,0.00,1,0,1253.9,-340.8,576.2
1,2,320,1.2801,147.614,-57.344,79.461,5.842,-16.152,-23.689,0.00,1,0,1262.2,-344.8,577.3
1,2,330,1.3201,147.614,-57.126,78.871,5.759,-14.500,-23.352,0.00,1,0,1270.7,-349.0,578.5
1,2,340,1.3601,147.614,-56.900,78.261,5.673,-12.790,-23.003,0.00,1,0,1279.5,-353.4,579.9
1,2,350,1.4002,147.614,-56.667,77.630,5.584,-11.024,-22.643,0.00,1,0,1288.5,-358.1,581.3
1,2,360,1.4402,147.614,-56.427,76.981,5.492,-9.204,-22.272,0.00,1,0,1297.7,-363.1,582.8
1,2,370,1.4802,147.614,-56.179,76.313,5.398,-7.333,-21.890,0.00,1,0,1307.1,-368.3,584.5
1,2,380,1.5202,147.614,-55.925,75.627,5.302,-5.411,-21.498,0.00,1,0,1316.7,-373.8,586.3
1,2,390,1.5602,147.614,-55.665,74.924,5.203,-3.441,-21.097,0.00,1,0,1326.5,-379.6,588.2
1,2,400,1.6002,147.614,-55.399,74.205,5.101,-1.427,-20.686,0.00,1,0,1336.3,-385.6,590.3
1,2,410,1.6402,147.614,-55.127,73.470,4.998,0.631,-20.266,0.00,1,0,1346.3,-391.9,592.5
1,2,420,1.6802,147.614,-54.850,72.721,4.892,2.729,-19.838,0.00,1,0,1356.4,-398.4,594.8
1,2,430,1.7202,147.614,-54.568,71.959,4.785,4.865,-19.403,0.00,1,0,1366.5,-405.2,597.3
1,2,440,1.7602,147.614,-54.281,71.184,4.676,7.035,-18.960,0.00,1,0,1376.6,-412.3,600.0
1,2,450,1.8002,147.614,-53.990,70.398,4.565,9.238,-18.511,0.00,1,0,1386.7,-419.5,602.9
1,2,460,1.8402,147.614,-53.695,69.601,4.453,11.470,-18.055,0.00,1,0,1396.8,-427.0,605.9
1,2,470,1.8802,147.614,-53.397,68.795,4.339,13.729,-17.595,0.00,1,0,1406.8,-434.8,609.1
1,2,480,1.9202,147.614,-53.095,67.980,4.224,16.011,-17.129,0.00,1,0,1416.7,-442.7,612.4
1,2,490,1.9602,147.614,-52.791,67.158,4.108,18.314,-16.660,0.00,1,0,1426.6,-450.8,616.0
1,2,500,2.0002,147.614,-52.485,66.330,3.992,20.634,-16.186,0.00,1,0,1436.3,-459.1,619.7
1,2,510,2.0402,147.614,-52.176,65.497,3.874,22.968,-15.710,0.00,1,0,1445.8,-467.6,623.6
1,2,520,2.0802,147.614,-51.866,64.659,3.756,25.314,-15.232,0.00,1,0,1455.1,-476.2,627.6
1,2,530,2.1202,147.614,-51.556,63.819,3.638,27.668,-14.752,0.00,1,0,1464.3,-484.9,631.9
1,2,540,2.1602,147.614,-51.244,62.977,3.519,30.027,-14.271,0.00,1,0,1473.2,-493.7,636.3
1,2,550,2.2002,147.614,-50.932,62.135,3.401,32.387,-13.789,0.00,1,0,1481.8,-502.6,640.8
1,2,560,2.2402,147.614,-50.620,61.293,3.282,34.746,-13.308,0.00,1,0,1490.2,-511.5,645.5
1,2,570,2.2802,147.614,-50.309,60.452,3.164,37.100,-12.828,0.00,1,0,1498.3,-520.5,650.3
1,2,580,2.3203,147.614,-49.999,59.615,3.046,39.447,-12.350,0.00,1,0,1506.1,-529.5,655.3
1,2,590,2.3603,147.614,-49.691,58.781,2.928,41.782,-11.873,0.00,1,0,1513.6,-538.4,660.4
1,2,600,2.4003,147.614,-49.384,57.952,2.811,44.104,-11.400,0.00,1,0,1520.7,-547.4,665.6
1,2,610,2.4403,147.614,-49.080,57.130,2.695,46.409,-10.930,0.00,1,0,1527.5,-556.3,670.8
1,2,620,2.4803,147.614,-48.778,56.314,2.580,48.693,-10.464,0.00,1,0,1534.0,-565.0,676.2
1,2,630,2.5203,147.614,-48.479,55.507,2.467,50.954,-10.003,0.00,1,0,1540.2,-573.7,681.6
1,2,640,2.5603,147.614,-48.184,54.709,2.354,53.189,-9.547,0.00,1,0,1545.9,-582.3,687.0
